tick,E0_floor,E0_direction,E1_floor,E1_direction
0,1,IDLE,1,IDLE
1,2,UP,2,UP
2,3,UP,3,UP
3,4,UP,4,UP
4,5,UP,5,UP
5,6,UP,6,UP
6,7,UP,7,UP
7,8,UP,8,UP
8,9,UP,9,UP
9,10,UP,10,UP
10,11,UP,11,UP
11,12,UP,12,UP
12,13,UP,13,UP
13,14,UP,14,UP
14,15,UP,15,UP
15,16,UP,16,UP
16,17,UP,17,UP
17,18,UP,18,UP
18,19,UP,19,UP
19,20,UP,20,UP
20,21,UP,21,UP
21,22,UP,22,UP
22,23,UP,23,UP
23,24,UP,24,UP
24,25,UP,25,UP
25,26,UP,26,UP
26,27,UP,27,UP
27,28,UP,28,UP
28,29,UP,29,UP
29,30,UP,30,UP
30,31,UP,31,UP
31,32,UP,32,UP
32,33,UP,33,UP
33,34,UP,34,UP
34,35,UP,35,UP
35,36,UP,36,UP
36,37,UP,37,IDLE
37,38,UP,37,IDLE
38,39,UP,37,IDLE
39,40,UP,37,IDLE
40,41,UP,37,IDLE
41,42,UP,37,IDLE
42,43,UP,37,IDLE
43,44,UP,37,IDLE
44,45,UP,37,IDLE
45,46,UP,37,IDLE
46,47,UP,37,IDLE
47,48,UP,37,IDLE
48,49,UP,37,IDLE
49,50,UP,37,IDLE
50,51,DOWN,37,IDLE
51,50,DOWN,37,IDLE
52,49,DOWN,37,IDLE
53,48,DOWN,37,IDLE
54,47,DOWN,37,IDLE
55,46,DOWN,37,IDLE
56,45,DOWN,37,IDLE
57,44,DOWN,37,IDLE
58,43,DOWN,37,IDLE
59,42,DOWN,37,IDLE
60,41,DOWN,37,IDLE
61,40,DOWN,37,IDLE
62,39,DOWN,37,IDLE
63,38,DOWN,37,IDLE
64,37,DOWN,37,IDLE
65,36,DOWN,37,IDLE
66,35,DOWN,37,IDLE
67,34,DOWN,37,IDLE
68,33,DOWN,37,IDLE
69,32,DOWN,37,IDLE
70,31,DOWN,37,IDLE
71,30,DOWN,37,IDLE
72,29,DOWN,37,IDLE
73,28,DOWN,37,IDLE
74,27,DOWN,37,IDLE
75,26,DOWN,37,IDLE
76,25,DOWN,37,IDLE
77,24,DOWN,37,IDLE
78,23,DOWN,37,IDLE
79,22,DOWN,37,IDLE
80,21,DOWN,37,IDLE
81,20,DOWN,37,IDLE
82,19,DOWN,37,IDLE
83,18,DOWN,37,IDLE
84,17,DOWN,37,IDLE
85,16,DOWN,37,IDLE
86,15,DOWN,37,IDLE
87,14,DOWN,37,IDLE
88,13,DOWN,37,IDLE
89,12,DOWN,37,IDLE
90,11,DOWN,37,IDLE
91,10,DOWN,37,IDLE
92,9,DOWN,37,IDLE
93,8,DOWN,37,IDLE
94,7,DOWN,37,IDLE
95,6,DOWN,37,IDLE
96,5,DOWN,37,IDLE
97,4,DOWN,37,IDLE
98,3,DOWN,37,IDLE
99,2,DOWN,37,IDLE
100,1,IDLE,37,IDLE
