tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,UP,15,UP,15,UP
15,16,UP,16,UP,16,UP
16,17,UP,17,UP,17,UP
17,18,UP,18,UP,18,UP
18,19,UP,19,UP,19,UP
19,20,UP,20,UP,20,UP
20,21,UP,21,UP,21,UP
21,22,UP,22,UP,22,UP
22,23,UP,23,UP,23,UP
23,24,UP,24,UP,24,UP
24,25,UP,25,DOWN,25,UP
25,26,UP,24,DOWN,26,UP
26,27,UP,23,DOWN,27,UP
27,28,UP,22,DOWN,28,UP
28,29,UP,21,DOWN,29,UP
29,30,DOWN,20,DOWN,30,IDLE
30,29,DOWN,19,DOWN,30,IDLE
31,28,DOWN,18,DOWN,30,IDLE
32,27,DOWN,17,DOWN,30,IDLE
33,26,DOWN,16,DOWN,30,IDLE
34,25,DOWN,15,DOWN,30,IDLE
35,24,DOWN,14,DOWN,30,IDLE
36,23,DOWN,13,DOWN,30,IDLE
37,22,DOWN,12,DOWN,30,IDLE
38,21,DOWN,11,DOWN,30,IDLE
39,20,DOWN,10,DOWN,30,IDLE
40,19,DOWN,9,DOWN,30,IDLE
41,18,DOWN,8,DOWN,30,IDLE
42,17,DOWN,7,DOWN,30,IDLE
43,16,DOWN,6,DOWN,30,IDLE
44,15,DOWN,5,DOWN,30,IDLE
45,14,DOWN,4,DOWN,30,IDLE
46,13,DOWN,3,DOWN,30,IDLE
47,12,DOWN,2,DOWN,30,IDLE
48,11,DOWN,1,IDLE,30,IDLE
49,10,DOWN,1,IDLE,30,IDLE
50,9,DOWN,1,IDLE,30,IDLE
51,8,DOWN,1,IDLE,30,IDLE
52,7,DOWN,1,IDLE,30,IDLE
53,6,DOWN,1,IDLE,30,IDLE
54,5,DOWN,1,IDLE,30,IDLE
55,4,DOWN,1,IDLE,30,IDLE
56,3,DOWN,1,IDLE,30,IDLE
57,2,DOWN,1,IDLE,30,IDLE
58,1,IDLE,1,IDLE,30,IDLE
59,1,IDLE,1,IDLE,30,IDLE
60,1,IDLE,1,IDLE,30,IDLE
61,1,IDLE,1,IDLE,30,IDLE
62,1,IDLE,1,IDLE,30,IDLE
63,1,IDLE,1,IDLE,30,IDLE
64,1,IDLE,1,IDLE,30,IDLE
65,1,IDLE,1,IDLE,30,IDLE
66,1,IDLE,1,IDLE,30,IDLE
67,1,IDLE,1,IDLE,30,IDLE
68,1,IDLE,1,IDLE,30,IDLE
69,1,IDLE,1,IDLE,30,IDLE
70,1,IDLE,1,IDLE,30,IDLE
71,1,IDLE,1,IDLE,30,IDLE
72,1,IDLE,1,IDLE,30,IDLE
73,1,IDLE,1,IDLE,30,IDLE
74,1,IDLE,1,IDLE,30,IDLE
75,1,IDLE,1,IDLE,30,IDLE
76,1,IDLE,1,IDLE,30,IDLE
77,1,IDLE,1,IDLE,30,IDLE
78,1,IDLE,1,IDLE,30,IDLE
79,1,IDLE,1,IDLE,30,IDLE
80,1,IDLE,1,IDLE,30,IDLE
81,1,IDLE,1,IDLE,30,IDLE
82,1,IDLE,1,IDLE,30,IDLE
83,1,IDLE,1,IDLE,30,IDLE
84,1,IDLE,1,IDLE,30,IDLE
85,1,IDLE,1,IDLE,30,IDLE
86,1,IDLE,1,IDLE,30,IDLE
87,1,IDLE,1,IDLE,30,IDLE
88,1,IDLE,1,IDLE,30,IDLE
89,1,IDLE,1,IDLE,30,IDLE
90,1,IDLE,1,IDLE,30,IDLE
91,1,IDLE,1,IDLE,30,IDLE
92,1,IDLE,1,IDLE,30,IDLE
93,1,IDLE,1,IDLE,30,IDLE
94,1,IDLE,1,IDLE,30,IDLE
95,1,IDLE,1,IDLE,30,IDLE
96,1,IDLE,1,IDLE,30,IDLE
97,1,IDLE,1,IDLE,30,IDLE
98,1,IDLE,1,IDLE,30,IDLE
99,1,IDLE,1,IDLE,30,IDLE
100,1,IDLE,1,IDLE,30,IDLE
