tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,UP,15,UP,15,UP
15,16,UP,16,UP,16,UP
16,17,UP,17,UP,17,UP
17,18,UP,18,UP,18,UP
18,19,UP,19,UP,19,UP
19,20,UP,20,DOWN,20,UP
20,21,UP,19,DOWN,21,UP
21,22,UP,18,DOWN,22,UP
22,23,UP,17,DOWN,23,UP
23,24,UP,16,DOWN,24,UP
24,25,UP,15,DOWN,25,UP
25,26,UP,14,DOWN,26,UP
26,27,UP,13,DOWN,27,UP
27,28,UP,12,DOWN,28,UP
28,29,UP,11,DOWN,29,UP
29,30,IDLE,10,DOWN,30,DOWN
30,30,IDLE,9,DOWN,29,DOWN
31,30,IDLE,8,DOWN,28,DOWN
32,30,IDLE,7,DOWN,27,DOWN
33,30,IDLE,6,DOWN,26,DOWN
34,30,IDLE,5,DOWN,25,DOWN
35,30,IDLE,4,DOWN,24,DOWN
36,30,IDLE,3,IDLE,23,DOWN
37,30,IDLE,3,IDLE,22,DOWN
38,30,IDLE,3,IDLE,21,DOWN
39,30,IDLE,3,IDLE,20,DOWN
40,30,IDLE,3,IDLE,19,DOWN
41,30,IDLE,3,IDLE,18,DOWN
42,30,IDLE,3,IDLE,17,DOWN
43,30,IDLE,3,IDLE,16,DOWN
44,30,IDLE,3,IDLE,15,DOWN
45,30,IDLE,3,IDLE,14,DOWN
46,30,IDLE,3,IDLE,13,DOWN
47,30,IDLE,3,IDLE,12,DOWN
48,30,IDLE,3,IDLE,11,DOWN
49,30,IDLE,3,IDLE,10,DOWN
50,30,IDLE,3,IDLE,9,DOWN
51,30,IDLE,3,IDLE,8,DOWN
52,30,IDLE,3,IDLE,7,DOWN
53,30,IDLE,3,IDLE,6,DOWN
54,30,IDLE,3,IDLE,5,DOWN
55,30,IDLE,3,IDLE,4,DOWN
56,30,IDLE,3,IDLE,3,DOWN
57,30,IDLE,3,IDLE,2,DOWN
58,30,IDLE,3,IDLE,1,IDLE
59,30,IDLE,3,IDLE,1,IDLE
60,30,IDLE,3,IDLE,1,IDLE
61,30,IDLE,3,IDLE,1,IDLE
62,30,IDLE,3,IDLE,1,IDLE
63,30,IDLE,3,IDLE,1,IDLE
64,30,IDLE,3,IDLE,1,IDLE
65,30,IDLE,3,IDLE,1,IDLE
66,30,IDLE,3,IDLE,1,IDLE
67,30,IDLE,3,IDLE,1,IDLE
68,30,IDLE,3,IDLE,1,IDLE
69,30,IDLE,3,IDLE,1,IDLE
70,30,IDLE,3,IDLE,1,IDLE
71,30,IDLE,3,IDLE,1,IDLE
72,30,IDLE,3,IDLE,1,IDLE
73,30,IDLE,3,IDLE,1,IDLE
74,30,IDLE,3,IDLE,1,IDLE
75,30,IDLE,3,IDLE,1,IDLE
76,30,IDLE,3,IDLE,1,IDLE
77,30,IDLE,3,IDLE,1,IDLE
78,30,IDLE,3,IDLE,1,IDLE
79,30,IDLE,3,IDLE,1,IDLE
80,30,IDLE,3,IDLE,1,IDLE
81,30,IDLE,3,IDLE,1,IDLE
82,30,IDLE,3,IDLE,1,IDLE
83,30,IDLE,3,IDLE,1,IDLE
84,30,IDLE,3,IDLE,1,IDLE
85,30,IDLE,3,IDLE,1,IDLE
86,30,IDLE,3,IDLE,1,IDLE
87,30,IDLE,3,IDLE,1,IDLE
88,30,IDLE,3,IDLE,1,IDLE
89,30,IDLE,3,IDLE,1,IDLE
90,30,IDLE,3,IDLE,1,IDLE
91,30,IDLE,3,IDLE,1,IDLE
92,30,IDLE,3,IDLE,1,IDLE
93,30,IDLE,3,IDLE,1,IDLE
94,30,IDLE,3,IDLE,1,IDLE
95,30,IDLE,3,IDLE,1,IDLE
96,30,IDLE,3,IDLE,1,IDLE
97,30,IDLE,3,IDLE,1,IDLE
98,30,IDLE,3,IDLE,1,IDLE
99,30,IDLE,3,IDLE,1,IDLE
100,30,IDLE,3,IDLE,1,IDLE
