tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,DOWN,9,UP,9,UP
9,8,DOWN,10,UP,10,UP
10,7,DOWN,11,UP,11,UP
11,6,DOWN,12,UP,12,UP
12,5,DOWN,13,UP,13,UP
13,4,DOWN,14,UP,14,UP
14,3,DOWN,15,UP,15,UP
15,2,DOWN,16,UP,16,UP
16,1,UP,17,IDLE,17,UP
17,2,UP,17,IDLE,18,UP
18,3,UP,17,IDLE,19,UP
19,4,UP,17,IDLE,20,UP
20,5,UP,17,IDLE,21,UP
21,6,UP,17,IDLE,22,UP
22,7,UP,17,IDLE,23,UP
23,8,UP,17,IDLE,24,UP
24,9,UP,17,IDLE,25,UP
25,10,UP,17,IDLE,26,UP
26,11,UP,17,IDLE,27,UP
27,12,UP,17,IDLE,28,UP
28,13,UP,17,IDLE,29,UP
29,14,UP,17,IDLE,30,IDLE
30,15,UP,17,IDLE,30,IDLE
31,16,UP,17,IDLE,30,IDLE
32,17,UP,17,IDLE,30,IDLE
33,18,UP,17,IDLE,30,IDLE
34,19,UP,17,IDLE,30,IDLE
35,20,UP,17,IDLE,30,IDLE
36,21,UP,17,IDLE,30,IDLE
37,22,UP,17,IDLE,30,IDLE
38,23,UP,17,IDLE,30,IDLE
39,24,UP,17,IDLE,30,IDLE
40,25,UP,17,IDLE,30,IDLE
41,26,UP,17,IDLE,30,IDLE
42,27,IDLE,17,IDLE,30,IDLE
43,27,IDLE,17,IDLE,30,IDLE
44,27,IDLE,17,IDLE,30,IDLE
45,27,IDLE,17,IDLE,30,IDLE
46,27,IDLE,17,IDLE,30,IDLE
47,27,IDLE,17,IDLE,30,IDLE
48,27,IDLE,17,IDLE,30,IDLE
49,27,IDLE,17,IDLE,30,IDLE
50,27,IDLE,17,IDLE,30,IDLE
51,27,IDLE,17,IDLE,30,IDLE
52,27,IDLE,17,IDLE,30,IDLE
53,27,IDLE,17,IDLE,30,IDLE
54,27,IDLE,17,IDLE,30,IDLE
55,27,IDLE,17,IDLE,30,IDLE
56,27,IDLE,17,IDLE,30,IDLE
57,27,IDLE,17,IDLE,30,IDLE
58,27,IDLE,17,IDLE,30,IDLE
59,27,IDLE,17,IDLE,30,IDLE
60,27,IDLE,17,IDLE,30,IDLE
61,27,IDLE,17,IDLE,30,IDLE
62,27,IDLE,17,IDLE,30,IDLE
63,27,IDLE,17,IDLE,30,IDLE
64,27,IDLE,17,IDLE,30,IDLE
65,27,IDLE,17,IDLE,30,IDLE
66,27,IDLE,17,IDLE,30,IDLE
67,27,IDLE,17,IDLE,30,IDLE
68,27,IDLE,17,IDLE,30,IDLE
69,27,IDLE,17,IDLE,30,IDLE
70,27,IDLE,17,IDLE,30,IDLE
71,27,IDLE,17,IDLE,30,IDLE
72,27,IDLE,17,IDLE,30,IDLE
73,27,IDLE,17,IDLE,30,IDLE
74,27,IDLE,17,IDLE,30,IDLE
75,27,IDLE,17,IDLE,30,IDLE
76,27,IDLE,17,IDLE,30,IDLE
77,27,IDLE,17,IDLE,30,IDLE
78,27,IDLE,17,IDLE,30,IDLE
79,27,IDLE,17,IDLE,30,IDLE
80,27,IDLE,17,IDLE,30,IDLE
81,27,IDLE,17,IDLE,30,IDLE
82,27,IDLE,17,IDLE,30,IDLE
83,27,IDLE,17,IDLE,30,IDLE
84,27,IDLE,17,IDLE,30,IDLE
85,27,IDLE,17,IDLE,30,IDLE
86,27,IDLE,17,IDLE,30,IDLE
87,27,IDLE,17,IDLE,30,IDLE
88,27,IDLE,17,IDLE,30,IDLE
89,27,IDLE,17,IDLE,30,IDLE
90,27,IDLE,17,IDLE,30,IDLE
91,27,IDLE,17,IDLE,30,IDLE
92,27,IDLE,17,IDLE,30,IDLE
93,27,IDLE,17,IDLE,30,IDLE
94,27,IDLE,17,IDLE,30,IDLE
95,27,IDLE,17,IDLE,30,IDLE
96,27,IDLE,17,IDLE,30,IDLE
97,27,IDLE,17,IDLE,30,IDLE
98,27,IDLE,17,IDLE,30,IDLE
99,27,IDLE,17,IDLE,30,IDLE
100,27,IDLE,17,IDLE,30,IDLE
