tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,UP,15,UP,15,UP
15,16,UP,16,UP,16,UP
16,17,UP,17,UP,17,UP
17,18,UP,18,UP,18,UP
18,19,UP,19,UP,19,UP
19,20,UP,20,UP,20,UP
20,21,UP,21,UP,21,UP
21,22,UP,22,UP,22,UP
22,23,UP,23,UP,23,UP
23,24,UP,24,UP,24,UP
24,25,UP,25,UP,25,IDLE
25,26,UP,26,UP,25,IDLE
26,27,UP,27,UP,25,IDLE
27,28,DOWN,28,UP,25,IDLE
28,27,DOWN,29,UP,25,IDLE
29,26,DOWN,30,DOWN,25,IDLE
30,25,DOWN,29,DOWN,25,IDLE
31,24,DOWN,28,DOWN,25,IDLE
32,23,DOWN,27,DOWN,25,IDLE
33,22,DOWN,26,DOWN,25,IDLE
34,21,DOWN,25,DOWN,25,IDLE
35,20,DOWN,24,DOWN,25,IDLE
36,19,DOWN,23,DOWN,25,IDLE
37,18,DOWN,22,DOWN,25,IDLE
38,17,DOWN,21,DOWN,25,IDLE
39,16,DOWN,20,DOWN,25,IDLE
40,15,DOWN,19,DOWN,25,IDLE
41,14,DOWN,18,DOWN,25,IDLE
42,13,DOWN,17,DOWN,25,IDLE
43,12,DOWN,16,DOWN,25,IDLE
44,11,DOWN,15,DOWN,25,IDLE
45,10,DOWN,14,DOWN,25,IDLE
46,9,DOWN,13,DOWN,25,IDLE
47,8,DOWN,12,DOWN,25,IDLE
48,7,DOWN,11,DOWN,25,IDLE
49,6,DOWN,10,DOWN,25,IDLE
50,5,DOWN,9,DOWN,25,IDLE
51,4,DOWN,8,DOWN,25,IDLE
52,3,DOWN,7,DOWN,25,IDLE
53,2,DOWN,6,DOWN,25,IDLE
54,1,UP,5,DOWN,25,IDLE
55,2,UP,4,DOWN,25,IDLE
56,3,UP,3,DOWN,25,IDLE
57,4,UP,2,DOWN,25,IDLE
58,5,UP,1,UP,25,IDLE
59,6,UP,2,UP,25,IDLE
60,7,UP,3,UP,25,IDLE
61,8,UP,4,UP,25,IDLE
62,9,UP,5,UP,25,IDLE
63,10,UP,6,UP,25,IDLE
64,11,UP,7,UP,25,IDLE
65,12,UP,8,UP,25,IDLE
66,13,UP,9,UP,25,IDLE
67,14,UP,10,UP,25,IDLE
68,15,UP,11,UP,25,IDLE
69,16,UP,12,UP,25,IDLE
70,17,UP,13,UP,25,IDLE
71,18,UP,14,UP,25,IDLE
72,19,UP,15,UP,25,IDLE
73,20,UP,16,UP,25,IDLE
74,21,UP,17,UP,25,IDLE
75,22,UP,18,UP,25,IDLE
76,23,UP,19,UP,25,IDLE
77,24,UP,20,UP,25,IDLE
78,25,UP,21,IDLE,25,IDLE
79,26,UP,21,IDLE,25,IDLE
80,27,IDLE,21,IDLE,25,IDLE
81,27,IDLE,21,IDLE,25,IDLE
82,27,IDLE,21,IDLE,25,IDLE
83,27,IDLE,21,IDLE,25,IDLE
84,27,IDLE,21,IDLE,25,IDLE
85,27,IDLE,21,IDLE,25,IDLE
86,27,IDLE,21,IDLE,25,IDLE
87,27,IDLE,21,IDLE,25,IDLE
88,27,IDLE,21,IDLE,25,IDLE
89,27,IDLE,21,IDLE,25,IDLE
90,27,IDLE,21,IDLE,25,IDLE
91,27,IDLE,21,IDLE,25,IDLE
92,27,IDLE,21,IDLE,25,IDLE
93,27,IDLE,21,IDLE,25,IDLE
94,27,IDLE,21,IDLE,25,IDLE
95,27,IDLE,21,IDLE,25,IDLE
96,27,IDLE,21,IDLE,25,IDLE
97,27,IDLE,21,IDLE,25,IDLE
98,27,IDLE,21,IDLE,25,IDLE
99,27,IDLE,21,IDLE,25,IDLE
100,27,IDLE,21,IDLE,25,IDLE
