tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,1,IDLE,1,IDLE
2,3,UP,1,IDLE,1,IDLE
3,4,UP,1,IDLE,1,IDLE
4,5,UP,1,IDLE,1,IDLE
5,6,UP,1,IDLE,1,IDLE
6,7,UP,1,IDLE,1,IDLE
7,8,UP,1,IDLE,1,IDLE
8,9,UP,1,IDLE,1,IDLE
9,10,UP,1,IDLE,1,IDLE
10,11,UP,1,IDLE,1,IDLE
11,12,UP,1,IDLE,1,IDLE
12,13,UP,1,IDLE,1,IDLE
13,14,UP,1,IDLE,1,IDLE
14,15,UP,1,IDLE,1,IDLE
15,16,UP,1,IDLE,1,IDLE
16,17,UP,1,IDLE,1,IDLE
17,18,UP,1,IDLE,1,IDLE
18,19,UP,1,IDLE,1,IDLE
19,20,UP,1,IDLE,1,IDLE
20,21,UP,1,IDLE,1,IDLE
21,22,UP,1,IDLE,1,IDLE
22,23,UP,1,IDLE,1,IDLE
23,24,UP,1,IDLE,1,IDLE
24,25,UP,1,IDLE,1,IDLE
25,26,UP,1,IDLE,1,IDLE
26,27,UP,1,IDLE,1,IDLE
27,28,UP,1,IDLE,1,IDLE
28,29,UP,1,IDLE,1,IDLE
29,30,DOWN,1,IDLE,1,IDLE
30,29,DOWN,1,IDLE,1,IDLE
31,28,DOWN,1,IDLE,1,IDLE
32,27,DOWN,1,IDLE,1,IDLE
33,26,DOWN,1,IDLE,1,IDLE
34,25,DOWN,1,IDLE,1,IDLE
35,24,DOWN,1,IDLE,1,IDLE
36,23,DOWN,1,IDLE,1,IDLE
37,22,DOWN,1,IDLE,1,IDLE
38,21,DOWN,1,IDLE,1,IDLE
39,20,DOWN,1,IDLE,1,IDLE
40,19,DOWN,1,IDLE,1,IDLE
41,18,DOWN,1,IDLE,1,IDLE
42,17,DOWN,1,IDLE,1,IDLE
43,16,DOWN,1,IDLE,1,IDLE
44,15,DOWN,1,IDLE,1,IDLE
45,14,DOWN,1,IDLE,1,IDLE
46,13,DOWN,1,IDLE,1,IDLE
47,12,DOWN,1,IDLE,1,IDLE
48,11,DOWN,1,IDLE,1,IDLE
49,10,DOWN,1,IDLE,1,IDLE
50,9,DOWN,1,IDLE,1,IDLE
51,8,DOWN,1,IDLE,1,IDLE
52,7,DOWN,1,IDLE,1,IDLE
53,6,DOWN,1,IDLE,1,IDLE
54,5,DOWN,1,IDLE,1,IDLE
55,4,DOWN,1,IDLE,1,IDLE
56,3,DOWN,1,IDLE,1,IDLE
57,2,DOWN,1,IDLE,1,IDLE
58,1,UP,1,IDLE,1,IDLE
59,2,UP,1,IDLE,1,IDLE
60,3,UP,1,IDLE,1,IDLE
61,4,UP,1,IDLE,1,IDLE
62,5,UP,1,IDLE,1,IDLE
63,6,UP,1,IDLE,1,IDLE
64,7,UP,1,IDLE,1,IDLE
65,8,UP,1,IDLE,1,IDLE
66,9,DOWN,1,IDLE,1,IDLE
67,8,DOWN,1,IDLE,1,IDLE
68,7,DOWN,1,IDLE,1,IDLE
69,6,DOWN,1,IDLE,1,IDLE
70,5,DOWN,1,IDLE,1,IDLE
71,4,DOWN,1,IDLE,1,IDLE
72,3,DOWN,1,IDLE,1,IDLE
73,2,DOWN,1,IDLE,1,IDLE
74,1,UP,1,IDLE,1,IDLE
75,2,UP,1,IDLE,1,IDLE
76,3,UP,1,IDLE,1,IDLE
77,4,UP,1,IDLE,1,IDLE
78,5,UP,1,IDLE,1,IDLE
79,6,UP,1,IDLE,1,IDLE
80,7,UP,1,IDLE,1,IDLE
81,8,UP,1,IDLE,1,IDLE
82,9,UP,1,IDLE,1,IDLE
83,10,UP,1,IDLE,1,IDLE
84,11,UP,1,IDLE,1,IDLE
85,12,UP,1,IDLE,1,IDLE
86,13,UP,1,IDLE,1,IDLE
87,14,UP,1,IDLE,1,IDLE
88,15,UP,1,IDLE,1,IDLE
89,16,UP,1,IDLE,1,IDLE
90,17,DOWN,1,IDLE,1,IDLE
91,16,DOWN,1,IDLE,1,IDLE
92,15,DOWN,1,IDLE,1,IDLE
93,14,DOWN,1,IDLE,1,IDLE
94,13,DOWN,1,IDLE,1,IDLE
95,12,DOWN,1,IDLE,1,IDLE
96,11,DOWN,1,IDLE,1,IDLE
97,10,DOWN,1,IDLE,1,IDLE
98,9,DOWN,1,IDLE,1,IDLE
99,8,DOWN,1,IDLE,1,IDLE
100,7,DOWN,1,IDLE,1,IDLE
