tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,1,IDLE,2,UP
2,3,UP,1,IDLE,3,UP
3,4,UP,1,IDLE,4,UP
4,5,UP,1,IDLE,5,UP
5,6,UP,1,IDLE,6,UP
6,7,UP,2,UP,7,UP
7,8,UP,3,UP,8,UP
8,9,UP,4,UP,9,UP
9,10,UP,5,UP,10,UP
10,11,UP,6,UP,11,UP
11,12,UP,7,UP,12,UP
12,13,UP,8,UP,13,UP
13,14,UP,9,UP,14,UP
14,15,UP,10,UP,15,UP
15,16,UP,11,UP,16,UP
16,17,UP,12,UP,17,UP
17,18,UP,13,UP,18,UP
18,19,UP,14,UP,19,UP
19,20,UP,15,UP,20,UP
20,21,UP,16,UP,21,UP
21,22,UP,17,UP,22,UP
22,23,UP,18,UP,23,UP
23,24,UP,19,UP,24,UP
24,25,UP,20,UP,25,UP
25,26,UP,21,UP,26,UP
26,27,UP,22,UP,27,UP
27,28,UP,23,UP,28,UP
28,29,UP,24,UP,29,UP
29,30,UP,25,UP,30,UP
30,31,UP,26,UP,31,UP
31,32,UP,27,UP,32,UP
32,33,UP,28,UP,33,UP
33,34,UP,29,UP,34,UP
34,35,UP,30,UP,35,UP
35,36,UP,31,UP,36,UP
36,37,UP,32,UP,37,UP
37,38,UP,33,UP,38,UP
38,39,UP,34,UP,39,UP
39,40,UP,35,IDLE,40,UP
40,41,UP,35,IDLE,41,UP
41,42,UP,35,IDLE,42,UP
42,43,UP,35,IDLE,43,UP
43,44,UP,35,IDLE,44,UP
44,45,IDLE,35,IDLE,45,UP
45,45,IDLE,35,IDLE,46,UP
46,45,IDLE,35,IDLE,47,UP
47,45,IDLE,35,IDLE,48,UP
48,45,IDLE,35,IDLE,49,UP
49,45,IDLE,35,IDLE,50,UP
50,45,IDLE,35,IDLE,51,UP
51,45,IDLE,35,IDLE,52,UP
52,45,IDLE,35,IDLE,53,UP
53,45,IDLE,35,IDLE,54,UP
54,45,IDLE,35,IDLE,55,UP
55,45,IDLE,35,IDLE,56,UP
56,45,IDLE,35,IDLE,57,UP
57,45,IDLE,35,IDLE,58,UP
58,45,IDLE,35,IDLE,59,UP
59,45,IDLE,35,IDLE,60,DOWN
60,45,IDLE,35,IDLE,59,DOWN
61,45,IDLE,35,IDLE,58,DOWN
62,45,IDLE,35,IDLE,57,DOWN
63,45,IDLE,35,IDLE,56,DOWN
64,45,IDLE,35,IDLE,55,DOWN
65,45,IDLE,35,IDLE,54,DOWN
66,45,IDLE,35,IDLE,53,DOWN
67,45,IDLE,35,IDLE,52,DOWN
68,45,IDLE,35,IDLE,51,DOWN
69,45,IDLE,35,IDLE,50,DOWN
70,45,IDLE,35,IDLE,49,DOWN
71,45,IDLE,35,IDLE,48,DOWN
72,45,IDLE,35,IDLE,47,DOWN
73,45,IDLE,35,IDLE,46,DOWN
74,45,IDLE,35,IDLE,45,DOWN
75,45,IDLE,35,IDLE,44,DOWN
76,45,IDLE,35,IDLE,43,DOWN
77,45,IDLE,35,IDLE,42,DOWN
78,45,IDLE,35,IDLE,41,DOWN
79,45,IDLE,35,IDLE,40,DOWN
80,45,IDLE,35,IDLE,39,DOWN
81,45,IDLE,35,IDLE,38,DOWN
82,45,IDLE,35,IDLE,37,DOWN
83,45,IDLE,35,IDLE,36,DOWN
84,45,IDLE,35,IDLE,35,DOWN
85,45,IDLE,35,IDLE,34,DOWN
86,45,IDLE,35,IDLE,33,DOWN
87,45,IDLE,35,IDLE,32,DOWN
88,45,IDLE,35,IDLE,31,DOWN
89,45,IDLE,35,IDLE,30,DOWN
90,45,IDLE,35,IDLE,29,DOWN
91,45,IDLE,35,IDLE,28,DOWN
92,45,IDLE,35,IDLE,27,DOWN
93,45,IDLE,35,IDLE,26,DOWN
94,45,IDLE,35,IDLE,25,DOWN
95,45,IDLE,35,IDLE,24,DOWN
96,45,IDLE,35,IDLE,23,DOWN
97,45,IDLE,35,IDLE,22,DOWN
98,45,IDLE,35,IDLE,21,DOWN
99,45,IDLE,35,IDLE,20,DOWN
100,45,IDLE,35,IDLE,19,DOWN
