tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,DOWN,9,UP,9,UP
9,8,DOWN,10,UP,10,UP
10,7,DOWN,11,UP,11,UP
11,6,DOWN,12,UP,12,UP
12,5,DOWN,13,UP,13,UP
13,4,DOWN,14,UP,14,UP
14,3,DOWN,15,UP,15,UP
15,2,DOWN,16,UP,16,UP
16,1,IDLE,17,DOWN,17,UP
17,2,UP,16,DOWN,18,UP
18,3,UP,15,DOWN,19,UP
19,4,UP,14,DOWN,20,UP
20,5,UP,13,DOWN,21,UP
21,6,UP,12,DOWN,22,UP
22,7,UP,11,DOWN,23,UP
23,8,UP,10,DOWN,24,UP
24,9,UP,9,DOWN,25,DOWN
25,10,UP,8,DOWN,24,DOWN
26,11,UP,7,DOWN,23,DOWN
27,12,UP,6,DOWN,22,DOWN
28,13,UP,5,DOWN,21,DOWN
29,14,UP,4,DOWN,20,DOWN
30,15,UP,3,DOWN,19,DOWN
31,16,UP,2,DOWN,18,DOWN
32,17,UP,1,IDLE,17,DOWN
33,18,UP,1,IDLE,16,DOWN
34,19,UP,1,IDLE,15,DOWN
35,20,UP,1,IDLE,14,DOWN
36,21,UP,1,IDLE,13,DOWN
37,22,UP,1,IDLE,12,DOWN
38,23,UP,1,IDLE,11,DOWN
39,24,UP,1,IDLE,10,DOWN
40,25,UP,1,IDLE,9,DOWN
41,26,UP,1,IDLE,8,DOWN
42,27,UP,1,IDLE,7,DOWN
43,28,UP,1,IDLE,6,DOWN
44,29,UP,1,IDLE,5,DOWN
45,30,DOWN,1,IDLE,4,DOWN
46,29,DOWN,1,IDLE,3,DOWN
47,28,DOWN,1,IDLE,2,DOWN
48,27,DOWN,1,IDLE,1,IDLE
49,26,DOWN,1,IDLE,1,IDLE
50,25,DOWN,1,IDLE,1,IDLE
51,24,DOWN,1,IDLE,1,IDLE
52,23,DOWN,1,IDLE,1,IDLE
53,22,DOWN,1,IDLE,1,IDLE
54,21,DOWN,1,IDLE,1,IDLE
55,20,DOWN,1,IDLE,1,IDLE
56,19,DOWN,1,IDLE,1,IDLE
57,18,DOWN,1,IDLE,1,IDLE
58,17,DOWN,1,IDLE,1,IDLE
59,16,DOWN,1,IDLE,1,IDLE
60,15,DOWN,1,IDLE,1,IDLE
61,14,DOWN,1,IDLE,1,IDLE
62,13,DOWN,1,IDLE,1,IDLE
63,12,DOWN,1,IDLE,1,IDLE
64,11,DOWN,1,IDLE,1,IDLE
65,10,DOWN,1,IDLE,1,IDLE
66,9,DOWN,1,IDLE,1,IDLE
67,8,DOWN,1,IDLE,1,IDLE
68,7,DOWN,1,IDLE,1,IDLE
69,6,DOWN,1,IDLE,1,IDLE
70,5,DOWN,1,IDLE,1,IDLE
71,4,DOWN,1,IDLE,1,IDLE
72,3,DOWN,1,IDLE,1,IDLE
73,2,DOWN,1,IDLE,1,IDLE
74,1,IDLE,1,IDLE,1,IDLE
75,1,IDLE,1,IDLE,1,IDLE
76,1,IDLE,1,IDLE,1,IDLE
77,1,IDLE,1,IDLE,1,IDLE
78,1,IDLE,1,IDLE,1,IDLE
79,1,IDLE,1,IDLE,1,IDLE
80,1,IDLE,1,IDLE,1,IDLE
81,1,IDLE,1,IDLE,1,IDLE
82,1,IDLE,1,IDLE,1,IDLE
83,1,IDLE,1,IDLE,1,IDLE
84,1,IDLE,1,IDLE,1,IDLE
85,1,IDLE,1,IDLE,1,IDLE
86,1,IDLE,1,IDLE,1,IDLE
87,1,IDLE,1,IDLE,1,IDLE
88,1,IDLE,1,IDLE,1,IDLE
89,1,IDLE,1,IDLE,1,IDLE
90,1,IDLE,1,IDLE,1,IDLE
91,1,IDLE,1,IDLE,1,IDLE
92,1,IDLE,1,IDLE,1,IDLE
93,1,IDLE,1,IDLE,1,IDLE
94,1,IDLE,1,IDLE,1,IDLE
95,1,IDLE,1,IDLE,1,IDLE
96,1,IDLE,1,IDLE,1,IDLE
97,1,IDLE,1,IDLE,1,IDLE
98,1,IDLE,1,IDLE,1,IDLE
99,1,IDLE,1,IDLE,1,IDLE
100,1,IDLE,1,IDLE,1,IDLE
