tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,DOWN,9,UP,9,UP
9,8,DOWN,10,UP,10,UP
10,7,DOWN,11,UP,11,UP
11,6,DOWN,12,UP,12,UP
12,5,DOWN,13,UP,13,UP
13,4,DOWN,14,UP,14,UP
14,3,DOWN,15,UP,15,UP
15,2,DOWN,16,UP,16,UP
16,1,IDLE,17,DOWN,17,UP
17,1,IDLE,16,DOWN,18,UP
18,1,IDLE,15,DOWN,19,UP
19,1,IDLE,14,DOWN,20,UP
20,1,IDLE,13,DOWN,21,UP
21,1,IDLE,12,DOWN,22,UP
22,1,IDLE,11,DOWN,23,UP
23,1,IDLE,10,DOWN,24,UP
24,1,IDLE,9,DOWN,25,UP
25,1,IDLE,8,DOWN,26,UP
26,1,IDLE,7,DOWN,27,DOWN
27,1,IDLE,6,DOWN,26,DOWN
28,1,IDLE,5,DOWN,25,DOWN
29,1,IDLE,4,DOWN,24,DOWN
30,1,IDLE,3,DOWN,23,DOWN
31,1,IDLE,2,DOWN,22,DOWN
32,1,IDLE,1,IDLE,21,DOWN
33,1,IDLE,2,UP,20,DOWN
34,1,IDLE,3,UP,19,DOWN
35,1,IDLE,4,UP,18,DOWN
36,1,IDLE,5,UP,17,DOWN
37,1,IDLE,6,UP,16,DOWN
38,1,IDLE,7,UP,15,DOWN
39,1,IDLE,8,UP,14,DOWN
40,1,IDLE,9,UP,13,DOWN
41,1,IDLE,10,UP,12,DOWN
42,1,IDLE,11,UP,11,DOWN
43,1,IDLE,12,UP,10,DOWN
44,1,IDLE,13,UP,9,DOWN
45,1,IDLE,14,UP,8,DOWN
46,1,IDLE,15,UP,7,DOWN
47,1,IDLE,16,UP,6,DOWN
48,1,IDLE,17,UP,5,DOWN
49,1,IDLE,18,UP,4,DOWN
50,1,IDLE,19,DOWN,3,DOWN
51,1,IDLE,18,DOWN,2,DOWN
52,1,IDLE,17,DOWN,1,IDLE
53,1,IDLE,16,DOWN,2,UP
54,1,IDLE,15,DOWN,3,UP
55,1,IDLE,14,DOWN,4,UP
56,1,IDLE,13,DOWN,5,UP
57,1,IDLE,12,DOWN,6,UP
58,1,IDLE,11,DOWN,7,UP
59,1,IDLE,10,DOWN,8,UP
60,1,IDLE,9,DOWN,9,UP
61,1,IDLE,8,DOWN,10,UP
62,1,IDLE,7,DOWN,11,UP
63,1,IDLE,6,DOWN,12,UP
64,1,IDLE,5,DOWN,13,UP
65,1,IDLE,4,DOWN,14,UP
66,1,IDLE,3,DOWN,15,UP
67,1,IDLE,2,DOWN,16,UP
68,1,IDLE,1,IDLE,17,UP
69,1,IDLE,1,IDLE,18,UP
70,1,IDLE,1,IDLE,19,UP
71,1,IDLE,1,IDLE,20,UP
72,1,IDLE,1,IDLE,21,UP
73,1,IDLE,1,IDLE,22,UP
74,1,IDLE,1,IDLE,23,UP
75,1,IDLE,1,IDLE,24,UP
76,1,IDLE,1,IDLE,25,UP
77,1,IDLE,1,IDLE,26,UP
78,1,IDLE,1,IDLE,27,UP
79,1,IDLE,1,IDLE,28,UP
80,1,IDLE,1,IDLE,29,UP
81,1,IDLE,1,IDLE,30,DOWN
82,1,IDLE,1,IDLE,29,DOWN
83,1,IDLE,1,IDLE,28,DOWN
84,1,IDLE,1,IDLE,27,DOWN
85,1,IDLE,1,IDLE,26,DOWN
86,1,IDLE,1,IDLE,25,DOWN
87,1,IDLE,1,IDLE,24,DOWN
88,1,IDLE,1,IDLE,23,DOWN
89,1,IDLE,1,IDLE,22,DOWN
90,1,IDLE,1,IDLE,21,DOWN
91,1,IDLE,1,IDLE,20,DOWN
92,1,IDLE,1,IDLE,19,DOWN
93,1,IDLE,1,IDLE,18,DOWN
94,1,IDLE,1,IDLE,17,DOWN
95,1,IDLE,1,IDLE,16,DOWN
96,1,IDLE,1,IDLE,15,DOWN
97,1,IDLE,1,IDLE,14,DOWN
98,1,IDLE,1,IDLE,13,DOWN
99,1,IDLE,1,IDLE,12,DOWN
100,1,IDLE,1,IDLE,11,DOWN
