tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,DOWN,9,UP,9,UP
9,8,DOWN,10,UP,10,UP
10,7,DOWN,11,UP,11,UP
11,6,DOWN,12,UP,12,UP
12,5,DOWN,13,UP,13,UP
13,4,DOWN,14,UP,14,UP
14,3,DOWN,15,UP,15,UP
15,2,DOWN,16,UP,16,UP
16,1,UP,17,IDLE,17,UP
17,2,UP,17,IDLE,18,UP
18,3,UP,17,IDLE,19,UP
19,4,UP,17,IDLE,20,UP
20,5,UP,17,IDLE,21,UP
21,6,UP,17,IDLE,22,UP
22,7,UP,17,IDLE,23,UP
23,8,UP,17,IDLE,24,UP
24,9,UP,17,IDLE,25,IDLE
25,10,UP,17,IDLE,25,IDLE
26,11,UP,17,IDLE,25,IDLE
27,12,UP,17,IDLE,25,IDLE
28,13,UP,17,IDLE,25,IDLE
29,14,UP,17,IDLE,25,IDLE
30,15,UP,17,IDLE,25,IDLE
31,16,UP,17,IDLE,25,IDLE
32,17,UP,17,IDLE,25,IDLE
33,18,UP,17,IDLE,25,IDLE
34,19,UP,17,IDLE,25,IDLE
35,20,UP,17,IDLE,25,IDLE
36,21,UP,17,IDLE,25,IDLE
37,22,UP,17,IDLE,25,IDLE
38,23,UP,17,IDLE,25,IDLE
39,24,UP,17,IDLE,25,IDLE
40,25,UP,17,IDLE,25,IDLE
41,26,UP,17,IDLE,25,IDLE
42,27,UP,17,IDLE,25,IDLE
43,28,UP,17,IDLE,25,IDLE
44,29,UP,17,IDLE,25,IDLE
45,30,IDLE,17,IDLE,25,IDLE
46,30,IDLE,17,IDLE,25,IDLE
47,30,IDLE,17,IDLE,25,IDLE
48,30,IDLE,17,IDLE,25,IDLE
49,30,IDLE,17,IDLE,25,IDLE
50,30,IDLE,17,IDLE,25,IDLE
51,30,IDLE,17,IDLE,25,IDLE
52,30,IDLE,17,IDLE,25,IDLE
53,30,IDLE,17,IDLE,25,IDLE
54,30,IDLE,17,IDLE,25,IDLE
55,30,IDLE,17,IDLE,25,IDLE
56,30,IDLE,17,IDLE,25,IDLE
57,30,IDLE,17,IDLE,25,IDLE
58,30,IDLE,17,IDLE,25,IDLE
59,30,IDLE,17,IDLE,25,IDLE
60,30,IDLE,17,IDLE,25,IDLE
61,30,IDLE,17,IDLE,25,IDLE
62,30,IDLE,17,IDLE,25,IDLE
63,30,IDLE,17,IDLE,25,IDLE
64,30,IDLE,17,IDLE,25,IDLE
65,30,IDLE,17,IDLE,25,IDLE
66,30,IDLE,17,IDLE,25,IDLE
67,30,IDLE,17,IDLE,25,IDLE
68,30,IDLE,17,IDLE,25,IDLE
69,30,IDLE,17,IDLE,25,IDLE
70,30,IDLE,17,IDLE,25,IDLE
71,30,IDLE,17,IDLE,25,IDLE
72,30,IDLE,17,IDLE,25,IDLE
73,30,IDLE,17,IDLE,25,IDLE
74,30,IDLE,17,IDLE,25,IDLE
75,30,IDLE,17,IDLE,25,IDLE
76,30,IDLE,17,IDLE,25,IDLE
77,30,IDLE,17,IDLE,25,IDLE
78,30,IDLE,17,IDLE,25,IDLE
79,30,IDLE,17,IDLE,25,IDLE
80,30,IDLE,17,IDLE,25,IDLE
81,30,IDLE,17,IDLE,25,IDLE
82,30,IDLE,17,IDLE,25,IDLE
83,30,IDLE,17,IDLE,25,IDLE
84,30,IDLE,17,IDLE,25,IDLE
85,30,IDLE,17,IDLE,25,IDLE
86,30,IDLE,17,IDLE,25,IDLE
87,30,IDLE,17,IDLE,25,IDLE
88,30,IDLE,17,IDLE,25,IDLE
89,30,IDLE,17,IDLE,25,IDLE
90,30,IDLE,17,IDLE,25,IDLE
91,30,IDLE,17,IDLE,25,IDLE
92,30,IDLE,17,IDLE,25,IDLE
93,30,IDLE,17,IDLE,25,IDLE
94,30,IDLE,17,IDLE,25,IDLE
95,30,IDLE,17,IDLE,25,IDLE
96,30,IDLE,17,IDLE,25,IDLE
97,30,IDLE,17,IDLE,25,IDLE
98,30,IDLE,17,IDLE,25,IDLE
99,30,IDLE,17,IDLE,25,IDLE
100,30,IDLE,17,IDLE,25,IDLE
