tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,UP,15,UP,15,UP
15,16,UP,16,UP,16,UP
16,17,UP,17,UP,17,UP
17,18,UP,18,UP,18,UP
18,19,UP,19,UP,19,UP
19,20,UP,20,UP,20,UP
20,21,DOWN,21,UP,21,UP
21,20,DOWN,22,UP,22,UP
22,19,DOWN,23,DOWN,23,UP
23,18,DOWN,22,DOWN,24,UP
24,17,DOWN,21,DOWN,25,DOWN
25,16,DOWN,20,DOWN,24,DOWN
26,15,DOWN,19,DOWN,23,DOWN
27,14,DOWN,18,DOWN,22,DOWN
28,13,DOWN,17,DOWN,21,DOWN
29,12,DOWN,16,DOWN,20,DOWN
30,11,DOWN,15,DOWN,19,DOWN
31,10,DOWN,14,DOWN,18,DOWN
32,9,DOWN,13,DOWN,17,DOWN
33,8,DOWN,12,DOWN,16,DOWN
34,7,DOWN,11,DOWN,15,DOWN
35,6,DOWN,10,DOWN,14,DOWN
36,5,DOWN,9,DOWN,13,DOWN
37,4,DOWN,8,DOWN,12,DOWN
38,3,DOWN,7,DOWN,11,DOWN
39,2,DOWN,6,DOWN,10,DOWN
40,1,UP,5,DOWN,9,DOWN
41,2,UP,4,DOWN,8,DOWN
42,3,UP,3,DOWN,7,DOWN
43,4,UP,2,DOWN,6,DOWN
44,5,UP,1,UP,5,DOWN
45,6,UP,2,UP,4,DOWN
46,7,UP,3,UP,3,DOWN
47,8,UP,4,UP,2,DOWN
48,9,UP,5,UP,1,UP
49,10,UP,6,UP,2,UP
50,11,UP,7,UP,3,UP
51,12,UP,8,UP,4,UP
52,13,UP,9,UP,5,UP
53,14,UP,10,UP,6,UP
54,15,UP,11,UP,7,UP
55,16,UP,12,UP,8,UP
56,17,UP,13,UP,9,UP
57,18,UP,14,UP,10,UP
58,19,UP,15,UP,11,UP
59,20,UP,16,UP,12,UP
60,21,UP,17,UP,13,UP
61,22,UP,18,UP,14,UP
62,23,UP,19,UP,15,UP
63,24,UP,20,UP,16,UP
64,25,UP,21,UP,17,UP
65,26,UP,22,UP,18,UP
66,27,IDLE,23,UP,19,UP
67,27,IDLE,24,UP,20,UP
68,27,IDLE,25,UP,21,UP
69,27,IDLE,26,UP,22,UP
70,27,IDLE,27,UP,23,UP
71,27,IDLE,28,UP,24,UP
72,27,IDLE,29,IDLE,25,UP
73,27,IDLE,29,IDLE,26,UP
74,27,IDLE,29,IDLE,27,UP
75,27,IDLE,29,IDLE,28,UP
76,27,IDLE,29,IDLE,29,UP
77,27,IDLE,29,IDLE,30,IDLE
78,27,IDLE,29,IDLE,30,IDLE
79,27,IDLE,29,IDLE,30,IDLE
80,27,IDLE,29,IDLE,30,IDLE
81,27,IDLE,29,IDLE,30,IDLE
82,27,IDLE,29,IDLE,30,IDLE
83,27,IDLE,29,IDLE,30,IDLE
84,27,IDLE,29,IDLE,30,IDLE
85,27,IDLE,29,IDLE,30,IDLE
86,27,IDLE,29,IDLE,30,IDLE
87,27,IDLE,29,IDLE,30,IDLE
88,27,IDLE,29,IDLE,30,IDLE
89,27,IDLE,29,IDLE,30,IDLE
90,27,IDLE,29,IDLE,30,IDLE
91,27,IDLE,29,IDLE,30,IDLE
92,27,IDLE,29,IDLE,30,IDLE
93,27,IDLE,29,IDLE,30,IDLE
94,27,IDLE,29,IDLE,30,IDLE
95,27,IDLE,29,IDLE,30,IDLE
96,27,IDLE,29,IDLE,30,IDLE
97,27,IDLE,29,IDLE,30,IDLE
98,27,IDLE,29,IDLE,30,IDLE
99,27,IDLE,29,IDLE,30,IDLE
100,27,IDLE,29,IDLE,30,IDLE
