tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,1,IDLE,1,IDLE
2,3,UP,1,IDLE,1,IDLE
3,4,UP,1,IDLE,1,IDLE
4,5,UP,1,IDLE,1,IDLE
5,6,UP,1,IDLE,1,IDLE
6,7,UP,1,IDLE,1,IDLE
7,8,UP,1,IDLE,1,IDLE
8,9,DOWN,1,IDLE,1,IDLE
9,8,DOWN,1,IDLE,1,IDLE
10,7,DOWN,1,IDLE,1,IDLE
11,6,DOWN,1,IDLE,1,IDLE
12,5,DOWN,1,IDLE,1,IDLE
13,4,DOWN,1,IDLE,1,IDLE
14,3,DOWN,1,IDLE,1,IDLE
15,2,DOWN,1,IDLE,1,IDLE
16,1,UP,1,IDLE,1,IDLE
17,2,UP,1,IDLE,1,IDLE
18,3,UP,1,IDLE,1,IDLE
19,4,UP,1,IDLE,1,IDLE
20,5,UP,1,IDLE,1,IDLE
21,6,UP,1,IDLE,1,IDLE
22,7,UP,1,IDLE,1,IDLE
23,8,UP,1,IDLE,1,IDLE
24,9,UP,1,IDLE,1,IDLE
25,10,UP,1,IDLE,1,IDLE
26,11,UP,1,IDLE,1,IDLE
27,12,UP,1,IDLE,1,IDLE
28,13,UP,1,IDLE,1,IDLE
29,14,UP,1,IDLE,1,IDLE
30,15,UP,1,IDLE,1,IDLE
31,16,UP,1,IDLE,1,IDLE
32,17,DOWN,1,IDLE,1,IDLE
33,16,DOWN,1,IDLE,1,IDLE
34,15,DOWN,1,IDLE,1,IDLE
35,14,DOWN,1,IDLE,1,IDLE
36,13,DOWN,1,IDLE,1,IDLE
37,12,DOWN,1,IDLE,1,IDLE
38,11,DOWN,1,IDLE,1,IDLE
39,10,DOWN,1,IDLE,1,IDLE
40,9,DOWN,1,IDLE,1,IDLE
41,8,DOWN,1,IDLE,1,IDLE
42,7,DOWN,1,IDLE,1,IDLE
43,6,DOWN,1,IDLE,1,IDLE
44,5,DOWN,1,IDLE,1,IDLE
45,4,DOWN,1,IDLE,1,IDLE
46,3,DOWN,1,IDLE,1,IDLE
47,2,DOWN,1,IDLE,1,IDLE
48,1,UP,1,IDLE,1,IDLE
49,2,UP,1,IDLE,1,IDLE
50,3,UP,1,IDLE,1,IDLE
51,4,UP,1,IDLE,1,IDLE
52,5,UP,1,IDLE,1,IDLE
53,6,UP,1,IDLE,1,IDLE
54,7,UP,1,IDLE,1,IDLE
55,8,UP,1,IDLE,1,IDLE
56,9,UP,1,IDLE,1,IDLE
57,10,UP,1,IDLE,1,IDLE
58,11,UP,1,IDLE,1,IDLE
59,12,UP,1,IDLE,1,IDLE
60,13,UP,1,IDLE,1,IDLE
61,14,UP,1,IDLE,1,IDLE
62,15,UP,1,IDLE,1,IDLE
63,16,UP,1,IDLE,1,IDLE
64,17,UP,1,IDLE,1,IDLE
65,18,UP,1,IDLE,1,IDLE
66,19,UP,1,IDLE,1,IDLE
67,20,UP,1,IDLE,1,IDLE
68,21,UP,1,IDLE,1,IDLE
69,22,UP,1,IDLE,1,IDLE
70,23,UP,1,IDLE,1,IDLE
71,24,UP,1,IDLE,1,IDLE
72,25,DOWN,1,IDLE,1,IDLE
73,24,DOWN,1,IDLE,1,IDLE
74,23,DOWN,1,IDLE,1,IDLE
75,22,DOWN,1,IDLE,1,IDLE
76,21,DOWN,1,IDLE,1,IDLE
77,20,DOWN,1,IDLE,1,IDLE
78,19,DOWN,1,IDLE,1,IDLE
79,18,DOWN,1,IDLE,1,IDLE
80,17,DOWN,1,IDLE,1,IDLE
81,16,DOWN,1,IDLE,1,IDLE
82,15,DOWN,1,IDLE,1,IDLE
83,14,DOWN,1,IDLE,1,IDLE
84,13,DOWN,1,IDLE,1,IDLE
85,12,DOWN,1,IDLE,1,IDLE
86,11,DOWN,1,IDLE,1,IDLE
87,10,DOWN,1,IDLE,1,IDLE
88,9,DOWN,1,IDLE,1,IDLE
89,8,DOWN,1,IDLE,1,IDLE
90,7,DOWN,1,IDLE,1,IDLE
91,6,DOWN,1,IDLE,1,IDLE
92,5,DOWN,1,IDLE,1,IDLE
93,4,DOWN,1,IDLE,1,IDLE
94,3,DOWN,1,IDLE,1,IDLE
95,2,DOWN,1,IDLE,1,IDLE
96,1,UP,1,IDLE,1,IDLE
97,2,UP,1,IDLE,1,IDLE
98,3,UP,1,IDLE,1,IDLE
99,4,UP,1,IDLE,1,IDLE
100,5,UP,1,IDLE,1,IDLE
