tick,E0_floor,E0_direction,E1_floor,E1_direction
0,1,IDLE,1,IDLE
1,2,UP,2,UP
2,3,UP,3,UP
3,4,UP,4,UP
4,5,UP,5,UP
5,6,UP,6,UP
6,7,UP,7,UP
7,8,UP,8,UP
8,9,UP,9,UP
9,10,UP,10,UP
10,11,UP,11,UP
11,12,UP,12,IDLE
12,13,UP,12,IDLE
13,14,UP,12,IDLE
14,15,UP,12,IDLE
15,16,UP,12,IDLE
16,17,UP,12,IDLE
17,18,UP,12,IDLE
18,19,UP,12,IDLE
19,20,IDLE,12,IDLE
20,20,IDLE,12,IDLE
21,20,IDLE,12,IDLE
22,20,IDLE,12,IDLE
23,20,IDLE,12,IDLE
24,20,IDLE,12,IDLE
25,20,IDLE,12,IDLE
26,20,IDLE,12,IDLE
27,20,IDLE,12,IDLE
28,20,IDLE,12,IDLE
29,20,IDLE,12,IDLE
30,20,IDLE,12,IDLE
31,20,IDLE,12,IDLE
32,20,IDLE,12,IDLE
33,20,IDLE,12,IDLE
34,20,IDLE,12,IDLE
35,20,IDLE,12,IDLE
36,20,IDLE,12,IDLE
37,20,IDLE,12,IDLE
38,20,IDLE,12,IDLE
39,20,IDLE,12,IDLE
40,20,IDLE,12,IDLE
41,20,IDLE,12,IDLE
42,20,IDLE,12,IDLE
43,20,IDLE,12,IDLE
44,20,IDLE,12,IDLE
45,20,IDLE,12,IDLE
46,20,IDLE,12,IDLE
47,20,IDLE,12,IDLE
48,20,IDLE,12,IDLE
49,20,IDLE,12,IDLE
50,20,IDLE,12,IDLE
51,20,IDLE,12,IDLE
52,20,IDLE,12,IDLE
53,20,IDLE,12,IDLE
54,20,IDLE,12,IDLE
55,20,IDLE,12,IDLE
56,20,IDLE,12,IDLE
57,20,IDLE,12,IDLE
58,20,IDLE,12,IDLE
59,20,IDLE,12,IDLE
60,20,IDLE,12,IDLE
61,20,IDLE,12,IDLE
62,20,IDLE,12,IDLE
63,20,IDLE,12,IDLE
64,20,IDLE,12,IDLE
65,20,IDLE,12,IDLE
66,20,IDLE,12,IDLE
67,20,IDLE,12,IDLE
68,20,IDLE,12,IDLE
69,20,IDLE,12,IDLE
70,20,IDLE,12,IDLE
71,20,IDLE,12,IDLE
72,20,IDLE,12,IDLE
73,20,IDLE,12,IDLE
74,20,IDLE,12,IDLE
75,20,IDLE,12,IDLE
76,20,IDLE,12,IDLE
77,20,IDLE,12,IDLE
78,20,IDLE,12,IDLE
79,20,IDLE,12,IDLE
80,20,IDLE,12,IDLE
81,20,IDLE,12,IDLE
82,20,IDLE,12,IDLE
83,20,IDLE,12,IDLE
84,20,IDLE,12,IDLE
85,20,IDLE,12,IDLE
86,20,IDLE,12,IDLE
87,20,IDLE,12,IDLE
88,20,IDLE,12,IDLE
89,20,IDLE,12,IDLE
90,20,IDLE,12,IDLE
91,20,IDLE,12,IDLE
92,20,IDLE,12,IDLE
93,20,IDLE,12,IDLE
94,20,IDLE,12,IDLE
95,20,IDLE,12,IDLE
96,20,IDLE,12,IDLE
97,20,IDLE,12,IDLE
98,20,IDLE,12,IDLE
99,20,IDLE,12,IDLE
100,20,IDLE,12,IDLE
