tick,E0_floor,E0_direction,E1_floor,E1_direction
0,1,IDLE,1,IDLE
1,2,UP,2,UP
2,3,UP,3,UP
3,4,UP,4,UP
4,5,UP,5,UP
5,6,UP,6,UP
6,7,UP,7,UP
7,8,UP,8,UP
8,9,UP,9,UP
9,10,UP,10,UP
10,11,UP,11,UP
11,12,UP,12,UP
12,13,UP,13,UP
13,14,UP,14,UP
14,15,IDLE,15,UP
15,15,IDLE,16,UP
16,15,IDLE,17,UP
17,15,IDLE,18,UP
18,15,IDLE,19,UP
19,15,IDLE,20,IDLE
20,15,IDLE,20,IDLE
21,15,IDLE,20,IDLE
22,15,IDLE,20,IDLE
23,15,IDLE,20,IDLE
24,15,IDLE,20,IDLE
25,15,IDLE,20,IDLE
26,15,IDLE,20,IDLE
27,15,IDLE,20,IDLE
28,15,IDLE,20,IDLE
29,15,IDLE,20,IDLE
30,15,IDLE,20,IDLE
31,15,IDLE,20,IDLE
32,15,IDLE,20,IDLE
33,15,IDLE,20,IDLE
34,15,IDLE,20,IDLE
35,15,IDLE,20,IDLE
36,15,IDLE,20,IDLE
37,15,IDLE,20,IDLE
38,15,IDLE,20,IDLE
39,15,IDLE,20,IDLE
40,15,IDLE,20,IDLE
41,15,IDLE,20,IDLE
42,15,IDLE,20,IDLE
43,15,IDLE,20,IDLE
44,15,IDLE,20,IDLE
45,15,IDLE,20,IDLE
46,15,IDLE,20,IDLE
47,15,IDLE,20,IDLE
48,15,IDLE,20,IDLE
49,15,IDLE,20,IDLE
50,15,IDLE,20,IDLE
51,15,IDLE,20,IDLE
52,15,IDLE,20,IDLE
53,15,IDLE,20,IDLE
54,15,IDLE,20,IDLE
55,15,IDLE,20,IDLE
56,15,IDLE,20,IDLE
57,15,IDLE,20,IDLE
58,15,IDLE,20,IDLE
59,15,IDLE,20,IDLE
60,15,IDLE,20,IDLE
61,15,IDLE,20,IDLE
62,15,IDLE,20,IDLE
63,15,IDLE,20,IDLE
64,15,IDLE,20,IDLE
65,15,IDLE,20,IDLE
66,15,IDLE,20,IDLE
67,15,IDLE,20,IDLE
68,15,IDLE,20,IDLE
69,15,IDLE,20,IDLE
70,15,IDLE,20,IDLE
71,15,IDLE,20,IDLE
72,15,IDLE,20,IDLE
73,15,IDLE,20,IDLE
74,15,IDLE,20,IDLE
75,15,IDLE,20,IDLE
76,15,IDLE,20,IDLE
77,15,IDLE,20,IDLE
78,15,IDLE,20,IDLE
79,15,IDLE,20,IDLE
80,15,IDLE,20,IDLE
81,15,IDLE,20,IDLE
82,15,IDLE,20,IDLE
83,15,IDLE,20,IDLE
84,15,IDLE,20,IDLE
85,15,IDLE,20,IDLE
86,15,IDLE,20,IDLE
87,15,IDLE,20,IDLE
88,15,IDLE,20,IDLE
89,15,IDLE,20,IDLE
90,15,IDLE,20,IDLE
91,15,IDLE,20,IDLE
92,15,IDLE,20,IDLE
93,15,IDLE,20,IDLE
94,15,IDLE,20,IDLE
95,15,IDLE,20,IDLE
96,15,IDLE,20,IDLE
97,15,IDLE,20,IDLE
98,15,IDLE,20,IDLE
99,15,IDLE,20,IDLE
100,15,IDLE,20,IDLE
