tick,E0_floor,E0_direction,E1_floor,E1_direction
0,1,IDLE,1,IDLE
1,2,UP,1,IDLE
2,3,UP,1,IDLE
3,4,UP,1,IDLE
4,5,UP,1,IDLE
5,6,UP,1,IDLE
6,7,UP,1,IDLE
7,8,UP,1,IDLE
8,9,UP,1,IDLE
9,10,UP,1,IDLE
10,11,UP,1,IDLE
11,12,UP,1,IDLE
12,13,UP,1,IDLE
13,14,UP,1,IDLE
14,15,UP,1,IDLE
15,16,UP,1,IDLE
16,17,UP,1,IDLE
17,18,UP,1,IDLE
18,19,UP,1,IDLE
19,20,DOWN,1,IDLE
20,19,DOWN,1,IDLE
21,18,DOWN,1,IDLE
22,17,DOWN,1,IDLE
23,16,DOWN,1,IDLE
24,15,DOWN,1,IDLE
25,14,DOWN,1,IDLE
26,13,DOWN,1,IDLE
27,12,DOWN,1,IDLE
28,11,DOWN,1,IDLE
29,10,DOWN,1,IDLE
30,9,DOWN,1,IDLE
31,8,DOWN,1,IDLE
32,7,DOWN,1,IDLE
33,6,DOWN,1,IDLE
34,5,DOWN,1,IDLE
35,4,DOWN,1,IDLE
36,3,DOWN,1,IDLE
37,2,DOWN,1,IDLE
38,1,UP,1,IDLE
39,2,UP,1,IDLE
40,3,UP,1,IDLE
41,4,UP,1,IDLE
42,5,UP,1,IDLE
43,6,UP,1,IDLE
44,7,UP,1,IDLE
45,8,UP,1,IDLE
46,9,UP,1,IDLE
47,10,UP,1,IDLE
48,11,UP,1,IDLE
49,12,IDLE,1,IDLE
50,12,IDLE,1,IDLE
51,12,IDLE,1,IDLE
52,12,IDLE,1,IDLE
53,12,IDLE,1,IDLE
54,12,IDLE,1,IDLE
55,12,IDLE,1,IDLE
56,12,IDLE,1,IDLE
57,12,IDLE,1,IDLE
58,12,IDLE,1,IDLE
59,12,IDLE,1,IDLE
60,12,IDLE,1,IDLE
61,12,IDLE,1,IDLE
62,12,IDLE,1,IDLE
63,12,IDLE,1,IDLE
64,12,IDLE,1,IDLE
65,12,IDLE,1,IDLE
66,12,IDLE,1,IDLE
67,12,IDLE,1,IDLE
68,12,IDLE,1,IDLE
69,12,IDLE,1,IDLE
70,12,IDLE,1,IDLE
71,12,IDLE,1,IDLE
72,12,IDLE,1,IDLE
73,12,IDLE,1,IDLE
74,12,IDLE,1,IDLE
75,12,IDLE,1,IDLE
76,12,IDLE,1,IDLE
77,12,IDLE,1,IDLE
78,12,IDLE,1,IDLE
79,12,IDLE,1,IDLE
80,12,IDLE,1,IDLE
81,12,IDLE,1,IDLE
82,12,IDLE,1,IDLE
83,12,IDLE,1,IDLE
84,12,IDLE,1,IDLE
85,12,IDLE,1,IDLE
86,12,IDLE,1,IDLE
87,12,IDLE,1,IDLE
88,12,IDLE,1,IDLE
89,12,IDLE,1,IDLE
90,12,IDLE,1,IDLE
91,12,IDLE,1,IDLE
92,12,IDLE,1,IDLE
93,12,IDLE,1,IDLE
94,12,IDLE,1,IDLE
95,12,IDLE,1,IDLE
96,12,IDLE,1,IDLE
97,12,IDLE,1,IDLE
98,12,IDLE,1,IDLE
99,12,IDLE,1,IDLE
100,12,IDLE,1,IDLE
