tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,UP,15,UP,15,UP
15,16,UP,16,UP,16,UP
16,17,UP,17,UP,17,UP
17,18,UP,18,UP,18,UP
18,19,UP,19,UP,19,UP
19,20,UP,20,UP,20,UP
20,21,UP,21,UP,21,UP
21,22,UP,22,UP,22,UP
22,23,UP,23,UP,23,UP
23,24,UP,24,UP,24,UP
24,25,UP,25,UP,25,UP
25,26,UP,26,UP,26,UP
26,27,DOWN,27,UP,27,UP
27,26,DOWN,28,UP,28,UP
28,25,DOWN,29,DOWN,29,UP
29,24,DOWN,28,DOWN,30,DOWN
30,23,DOWN,27,DOWN,29,DOWN
31,22,DOWN,26,DOWN,28,DOWN
32,21,DOWN,25,DOWN,27,DOWN
33,20,DOWN,24,DOWN,26,DOWN
34,19,DOWN,23,DOWN,25,DOWN
35,18,DOWN,22,DOWN,24,DOWN
36,17,DOWN,21,DOWN,23,DOWN
37,16,DOWN,20,DOWN,22,DOWN
38,15,IDLE,19,DOWN,21,DOWN
39,15,IDLE,18,DOWN,20,DOWN
40,15,IDLE,17,DOWN,19,DOWN
41,15,IDLE,16,DOWN,18,DOWN
42,15,IDLE,15,IDLE,17,DOWN
43,15,IDLE,15,IDLE,16,DOWN
44,15,IDLE,15,IDLE,15,IDLE
45,15,IDLE,15,IDLE,15,IDLE
46,15,IDLE,15,IDLE,15,IDLE
47,15,IDLE,15,IDLE,15,IDLE
48,15,IDLE,15,IDLE,15,IDLE
49,15,IDLE,15,IDLE,15,IDLE
50,15,IDLE,15,IDLE,15,IDLE
51,15,IDLE,15,IDLE,15,IDLE
52,15,IDLE,15,IDLE,15,IDLE
53,15,IDLE,15,IDLE,15,IDLE
54,15,IDLE,15,IDLE,15,IDLE
55,15,IDLE,15,IDLE,15,IDLE
56,15,IDLE,15,IDLE,15,IDLE
57,15,IDLE,15,IDLE,15,IDLE
58,15,IDLE,15,IDLE,15,IDLE
59,15,IDLE,15,IDLE,15,IDLE
60,15,IDLE,15,IDLE,15,IDLE
61,15,IDLE,15,IDLE,15,IDLE
62,15,IDLE,15,IDLE,15,IDLE
63,15,IDLE,15,IDLE,15,IDLE
64,15,IDLE,15,IDLE,15,IDLE
65,15,IDLE,15,IDLE,15,IDLE
66,15,IDLE,15,IDLE,15,IDLE
67,15,IDLE,15,IDLE,15,IDLE
68,15,IDLE,15,IDLE,15,IDLE
69,15,IDLE,15,IDLE,15,IDLE
70,15,IDLE,15,IDLE,15,IDLE
71,15,IDLE,15,IDLE,15,IDLE
72,15,IDLE,15,IDLE,15,IDLE
73,15,IDLE,15,IDLE,15,IDLE
74,15,IDLE,15,IDLE,15,IDLE
75,15,IDLE,15,IDLE,15,IDLE
76,15,IDLE,15,IDLE,15,IDLE
77,15,IDLE,15,IDLE,15,IDLE
78,15,IDLE,15,IDLE,15,IDLE
79,15,IDLE,15,IDLE,15,IDLE
80,15,IDLE,15,IDLE,15,IDLE
81,15,IDLE,15,IDLE,15,IDLE
82,15,IDLE,15,IDLE,15,IDLE
83,15,IDLE,15,IDLE,15,IDLE
84,15,IDLE,15,IDLE,15,IDLE
85,15,IDLE,15,IDLE,15,IDLE
86,15,IDLE,15,IDLE,15,IDLE
87,15,IDLE,15,IDLE,15,IDLE
88,15,IDLE,15,IDLE,15,IDLE
89,15,IDLE,15,IDLE,15,IDLE
90,15,IDLE,15,IDLE,15,IDLE
91,15,IDLE,15,IDLE,15,IDLE
92,15,IDLE,15,IDLE,15,IDLE
93,15,IDLE,15,IDLE,15,IDLE
94,15,IDLE,15,IDLE,15,IDLE
95,15,IDLE,15,IDLE,15,IDLE
96,15,IDLE,15,IDLE,15,IDLE
97,15,IDLE,15,IDLE,15,IDLE
98,15,IDLE,15,IDLE,15,IDLE
99,15,IDLE,15,IDLE,15,IDLE
100,15,IDLE,15,IDLE,15,IDLE
