tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,IDLE,15,UP,15,UP
15,14,DOWN,16,UP,16,UP
16,13,DOWN,17,UP,17,UP
17,12,DOWN,18,UP,18,UP
18,11,DOWN,19,DOWN,19,UP
19,10,DOWN,18,DOWN,20,UP
20,9,UP,17,DOWN,21,UP
21,10,UP,16,DOWN,22,UP
22,11,UP,15,IDLE,23,UP
23,12,UP,15,IDLE,24,UP
24,13,UP,15,IDLE,25,UP
25,14,UP,15,IDLE,26,UP
26,15,IDLE,15,IDLE,27,DOWN
27,15,IDLE,15,IDLE,26,DOWN
28,15,IDLE,15,IDLE,25,DOWN
29,15,IDLE,15,IDLE,24,DOWN
30,15,IDLE,15,IDLE,23,DOWN
31,15,IDLE,15,IDLE,22,DOWN
32,15,IDLE,15,IDLE,21,DOWN
33,15,IDLE,15,IDLE,20,DOWN
34,15,IDLE,15,IDLE,19,DOWN
35,15,IDLE,15,IDLE,18,DOWN
36,15,IDLE,15,IDLE,17,DOWN
37,15,IDLE,15,IDLE,16,DOWN
38,15,IDLE,15,IDLE,15,IDLE
39,15,IDLE,15,IDLE,16,UP
40,15,IDLE,15,IDLE,17,UP
41,15,IDLE,15,IDLE,18,UP
42,15,IDLE,15,IDLE,19,UP
43,15,IDLE,15,IDLE,20,UP
44,15,IDLE,15,IDLE,21,UP
45,15,IDLE,15,IDLE,22,UP
46,15,IDLE,15,IDLE,23,UP
47,15,IDLE,15,IDLE,24,UP
48,15,IDLE,15,IDLE,25,UP
49,15,IDLE,15,IDLE,26,UP
50,15,IDLE,15,IDLE,27,UP
51,15,IDLE,15,IDLE,28,UP
52,15,IDLE,15,IDLE,29,UP
53,15,IDLE,15,IDLE,30,DOWN
54,15,IDLE,15,IDLE,29,DOWN
55,15,IDLE,15,IDLE,28,DOWN
56,15,IDLE,15,IDLE,27,DOWN
57,15,IDLE,15,IDLE,26,DOWN
58,15,IDLE,15,IDLE,25,DOWN
59,15,IDLE,15,IDLE,24,DOWN
60,15,IDLE,15,IDLE,23,DOWN
61,15,IDLE,15,IDLE,22,DOWN
62,15,IDLE,15,IDLE,21,DOWN
63,15,IDLE,15,IDLE,20,DOWN
64,15,IDLE,15,IDLE,19,DOWN
65,15,IDLE,15,IDLE,18,DOWN
66,15,IDLE,15,IDLE,17,DOWN
67,15,IDLE,15,IDLE,16,DOWN
68,15,IDLE,15,IDLE,15,IDLE
69,15,IDLE,15,IDLE,15,IDLE
70,15,IDLE,15,IDLE,15,IDLE
71,15,IDLE,15,IDLE,15,IDLE
72,15,IDLE,15,IDLE,15,IDLE
73,15,IDLE,15,IDLE,15,IDLE
74,15,IDLE,15,IDLE,15,IDLE
75,15,IDLE,15,IDLE,15,IDLE
76,15,IDLE,15,IDLE,15,IDLE
77,15,IDLE,15,IDLE,15,IDLE
78,15,IDLE,15,IDLE,15,IDLE
79,15,IDLE,15,IDLE,15,IDLE
80,15,IDLE,15,IDLE,15,IDLE
81,15,IDLE,15,IDLE,15,IDLE
82,15,IDLE,15,IDLE,15,IDLE
83,15,IDLE,15,IDLE,15,IDLE
84,15,IDLE,15,IDLE,15,IDLE
85,15,IDLE,15,IDLE,15,IDLE
86,15,IDLE,15,IDLE,15,IDLE
87,15,IDLE,15,IDLE,15,IDLE
88,15,IDLE,15,IDLE,15,IDLE
89,15,IDLE,15,IDLE,15,IDLE
90,15,IDLE,15,IDLE,15,IDLE
91,15,IDLE,15,IDLE,15,IDLE
92,15,IDLE,15,IDLE,15,IDLE
93,15,IDLE,15,IDLE,15,IDLE
94,15,IDLE,15,IDLE,15,IDLE
95,15,IDLE,15,IDLE,15,IDLE
96,15,IDLE,15,IDLE,15,IDLE
97,15,IDLE,15,IDLE,15,IDLE
98,15,IDLE,15,IDLE,15,IDLE
99,15,IDLE,15,IDLE,15,IDLE
100,15,IDLE,15,IDLE,15,IDLE
